"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","1.484","1.424","1.388","1.3","1.236","1.132","1.068","0.96","0.984"
"PC","1.56526738573745","1.50912401885776","1.46390508797013","1.41457549191593","1.33699015453747","1.2576945490883","1.18639773195361","1.11973550149898","1.08910919458652"
"POLY","2.36709626119332","2.24194162695426","2.14670531957341","2.03303316383784","1.90541687169069","1.71138801692563","1.51509508533935","1.3973084191261","1.40033450237798"
"RESC_STOREY","0.936248643300438","0.91401552998163","0.947099638195421","0.893426426444004","0.871807022844898","0.82160526751015","0.793071969934489","0.721469040284194","0.793069977633757"
"RESC_PC","0.955671243532768","0.939095248376114","0.936092862919717","0.923218672759278","0.882356346730185","0.85719024762495","0.829711080626593","0.791831416034995","0.796211508896212"
"RESC_POLY","0.936327922447309","0.911434529532086","0.921419193210885","0.898166769255182","0.853424856604519","0.812660190010414","0.745597723996441","0.700456329539815","0.752083784792652"
"RESC_STOREY_midp","0.928855558189232","0.946914170645103","0.912212726155057","0.922287737581393","0.888270108578858","0.845854163324306","0.82998098985463","0.788094780765056","0.804384552906455"
"RESC_PC_midp","0.952286525242009","0.937754907187822","0.934716657919843","0.920571410781427","0.88048671802337","0.8517274531085","0.823183789891413","0.784409023415618","0.792132173509061"
"RESC_POLY_midp","0.934906081675922","0.922289608345378","0.9167804127641","0.909509252158727","0.861139389611207","0.81988966044812","0.75940057312047","0.723638585378361","0.757481390619144"
"STOREY_RANDOM","0.933128607479073","0.901742466350227","0.93530206440619","0.894516030465686","0.865455905591803","0.808745463507496","0.752477273802376","0.71735687818738","0.762448296283722"
"PC_RANDOM","0.953021661120224","0.937875376438011","0.932089285080289","0.920627566457319","0.87829614524597","0.852465843101441","0.824019734155508","0.783925185680245","0.791983596749121"
"POLY_RANDOM","0.930648437693593","0.907658585088226","0.92188707756515","0.896196518030626","0.849870835610176","0.805247940725908","0.727334618879972","0.696210505154421","0.736458691307808"
"STOREY","1.604","1.416","1.344","1.34","1.276","1.096","1.068","1.068","0.928"
"PC","1.64732191758334","1.48201078165111","1.43964152591679","1.43120792144294","1.36531729445433","1.22606635811909","1.19088767345491","1.16931134490642","1.06677285303591"
"POLY","2.55774311386806","2.19085655479753","2.08824680244417","2.0725658808374","1.97591622740157","1.63889288660959","1.58393838742278","1.56282597754449","1.30273552691047"
