"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC_ZZD","9301","8158","7009","5916","4814","3572","2510","1586","602"
"QUAD_STOREY","9410","8236","7074","5942","4846","3579","2514","1590","607"
"BH","8076","7110","6140","5266","4346","3299","2336","1510","586"
"oracle_ABH","9442","8251","7078","5955","4818","3612","2522","1586","605"
"STOREY","9409","8348","7136","6027","4880","3677","2653","1567","690"
"PC","9305","8285","7090","5979","4855","3660","2646","1556","689"
"PC_STOREY","9408","8351","7122","6017","4883","3678","2651","1567","690"
"QUAD","9391","8334","7112","6001","4881","3673","2650","1562","690"
"PC_ZZD","9305","8285","7089","5979","4854","3660","2645","1556","689"
"QUAD_STOREY","9406","8353","7116","6012","4889","3678","2650","1566","690"
"BH","8068","7250","6166","5318","4384","3349","2443","1475","672"
"oracle_ABH","9440","8334","7152","6006","4870","3672","2649","1559","689"
"STOREY","9515","8356","7083","5848","4877","3646","2522","1534","638"
"PC","9386","8285","7035","5796","4852","3637","2512","1530","638"
"PC_STOREY","9510","8363","7081","5845","4878","3646","2518","1533","638"
"QUAD","9471","8351","7070","5828","4876","3646","2518","1533","638"
"PC_ZZD","9386","8284","7034","5794","4850","3637","2510","1530","638"
"QUAD_STOREY","9502","8367","7080","5839","4881","3646","2518","1533","638"
"BH","8094","7214","6199","5145","4349","3299","2355","1460","613"
"oracle_ABH","9492","8350","7099","5851","4858","3655","2531","1535","638"
"STOREY","9430","8226","7056","5977","4834","3546","2549","1504","640"
"PC","9339","8175","7003","5935","4808","3531","2546","1501","635"
"PC_STOREY","9431","8227","7054","5975","4841","3545","2552","1505","640"
"QUAD","9419","8221","7046","5960","4834","3540","2552","1505","638"
"PC_ZZD","9339","8174","7002","5933","4806","3530","2544","1500","634"
"QUAD_STOREY","9436","8228","7053","5974","4841","3543","2552","1505","640"
"BH","8146","7146","6161","5302","4293","3255","2340","1416","617"
"oracle_ABH","9449","8268","7086","5956","4825","3549","2557","1504","635"
"STOREY","9436","8374","7207","6057","4822","3599","2522","1608","682"
"PC","9322","8298","7156","6017","4816","3576","2519","1606","682"
"PC_STOREY","9438","8376","7208","6056","4821","3599","2529","1608","682"
"QUAD","9407","8355","7200","6048","4822","3590","2532","1608","682"
"PC_ZZD","9322","8296","7155","6015","4815","3576","2518","1606","681"
"QUAD_STOREY","9436","8378","7208","6054","4820","3599","2533","1609","683"
"BH","8007","7225","6249","5332","4341","3244","2347","1518","653"
"oracle_ABH","9452","8354","7190","6041","4843","3599","2529","1607","679"
"STOREY","9530","8346","7113","5861","4786","3614","2569","1593","679"
"PC","9391","8285","7051","5837","4769","3593","2553","1593","679"
"PC_STOREY","9534","8348","7112","5861","4786","3611","2569","1593","681"
"QUAD","9496","8342","7092","5858","4786","3607","2563","1593","681"
"PC_ZZD","9391","8283","7049","5834","4767","3593","2553","1593","679"
"QUAD_STOREY","9538","8351","7110","5863","4789","3610","2569","1593","681"
"BH","8105","7220","6179","5208","4330","3274","2362","1503","660"
"oracle_ABH","9498","8346","7109","5884","4786","3611","2563","1593","681"
"STOREY","9442","8257","7120","5897","4726","3674","2534","1556","658"
"PC","9314","8182","7089","5858","4703","3660","2522","1553","657"
"PC_STOREY","9438","8257","7119","5897","4732","3673","2534","1556","658"
"QUAD","9396","8243","7112","5886","4725","3668","2530","1554","657"
"PC_ZZD","9313","8181","7089","5857","4701","3659","2522","1551","657"
"QUAD_STOREY","9437","8259","7119","5897","4736","3668","2534","1556","658"
"BH","8078","7140","6293","5197","4199","3301","2348","1456","635"
"oracle_ABH","9458","8271","7130","5921","4732","3676","2525","1557","657"
"STOREY","9479","8294","7099","6057","4808","3628","2627","1509","685"
"PC","9333","8202","7049","6011","4780","3616","2618","1511","684"
"PC_STOREY","9478","8283","7097","6057","4812","3625","2628","1509","685"
"QUAD","9445","8258","7093","6047","4806","3620","2631","1511","685"
"PC_ZZD","9332","8202","7046","6010","4780","3615","2617","1510","684"
"QUAD_STOREY","9479","8271","7097","6057","4814","3621","2631","1509","685"
"BH","8046","7113","6198","5303","4307","3301","2425","1422","665"
"oracle_ABH","9477","8308","7099","6023","4803","3624","2622","1516","682"
"STOREY","9481","8248","7106","5974","4690","3718","2585","1532","659"
"PC","9359","8176","7049","5941","4669","3693","2575","1528","661"
"PC_STOREY","9484","8243","7111","5987","4693","3719","2585","1533","661"
"QUAD","9454","8223","7097","5977","4685","3717","2580","1533","663"
"PC_ZZD","9358","8176","7049","5940","4669","3693","2575","1527","661"
"QUAD_STOREY","9488","8238","7113","5990","4694","3720","2582","1534","661"
"BH","8147","7102","6233","5284","4216","3333","2403","1437","631"
"oracle_ABH","9474","8262","7119","5970","4702","3700","2585","1532","659"
"STOREY","9370","8257","7028","5985","4819","3544","2566","1563","710"
"PC","9256","8186","6971","5955","4791","3536","2560","1563","710"
"PC_STOREY","9367","8248","7029","5990","4823","3544","2565","1563","710"
"QUAD","9347","8238","7020","5992","4819","3544","2561","1567","710"
"PC_ZZD","9255","8186","6968","5954","4788","3535","2555","1563","710"
"QUAD_STOREY","9360","8246","7031","5996","4828","3547","2561","1563","710"
"BH","8094","7159","6157","5266","4328","3225","2401","1489","681"
"oracle_ABH","9423","8290","7043","5995","4810","3551","2571","1572","710"
"STOREY","9424","8331","7096","5853","4775","3593","2581","1527","600"
"PC","9271","8233","7036","5827","4740","3578","2570","1527","600"
"PC_STOREY","9420","8336","7095","5853","4781","3593","2579","1527","600"
"QUAD","9388","8309","7082","5849","4768","3590","2577","1529","601"
"PC_ZZD","9271","8232","7036","5827","4734","3578","2569","1527","598"
"QUAD_STOREY","9418","8337","7093","5853","4783","3593","2579","1527","601"
"BH","8065","7169","6151","5159","4273","3272","2380","1449","583"
"oracle_ABH","9451","8313","7090","5888","4768","3596","2577","1538","603"
"STOREY","9406","8239","7084","5898","4805","3680","2629","1527","653"
"PC","9301","8166","7017","5852","4789","3672","2622","1523","653"
"PC_STOREY","9407","8234","7086","5902","4805","3680","2629","1526","653"
"QUAD","9377","8220","7074","5893","4805","3680","2629","1526","653"
