"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","9521","8238","7057","5927","4778","3661","2565","1552","697"
"PC_DM","9341","8180","7012","5903","4754","3654","2548","1551","697"
"HYB_PC_STO","9518","8236","7057","5927","4778","3661","2560","1552","697"
"PC_QUAD","9457","8222","7053","5926","4774","3662","2554","1552","697"
"PC_ZZD","9341","8180","7010","5901","4752","3654","2548","1551","694"
"HYB_Quad_Storey","9514","8236","7058","5927","4778","3661","2558","1552","698"
"raw_BH","8087","7132","6154","5250","4242","3345","2345","1451","670"
"oracle_adaptive_BH","9500","8264","7095","5936","4778","3683","2554","1552","697"
"STOREY","9400","8253","7090","5927","4741","3615","2547","1559","618"
"PC_DM","9298","8168","7043","5896","4727","3607","2534","1556","618"
"HYB_PC_STO","9398","8250","7085","5926","4740","3615","2542","1560","618"
"PC_QUAD","9383","8234","7075","5924","4736","3615","2538","1561","618"
"PC_ZZD","9298","8167","7042","5896","4726","3605","2531","1556","617"
"HYB_Quad_Storey","9396","8248","7080","5926","4739","3615","2540","1561","618"
"raw_BH","8152","7127","6214","5240","4251","3340","2363","1476","593"
"oracle_adaptive_BH","9432","8267","7105","5945","4761","3625","2547","1563","618"
"STOREY","9389","8326","7147","5914","4797","3694","2590","1596","654"
"PC_DM","9274","8245","7077","5882","4765","3669","2587","1595","652"
"HYB_PC_STO","9394","8326","7150","5914","4800","3694","2589","1595","654"
"PC_QUAD","9360","8306","7142","5911","4800","3683","2588","1597","652"
"PC_ZZD","9274","8243","7077","5880","4763","3665","2586","1595","652"
"HYB_Quad_Storey","9397","8326","7150","5914","4805","3694","2588","1595","653"
"raw_BH","8138","7152","6151","5233","4311","3334","2397","1495","634"
"oracle_adaptive_BH","9434","8324","7141","5927","4784","3677","2595","1600","652"
"STOREY","9438","8275","7081","5937","4795","3647","2599","1598","698"
"PC_DM","9310","8212","7039","5915","4771","3638","2581","1594","698"
"HYB_PC_STO","9442","8282","7084","5937","4791","3649","2594","1598","698"
"PC_QUAD","9423","8273","7073","5932","4784","3648","2589","1597","698"
"PC_ZZD","9310","8211","7039","5913","4770","3637","2580","1594","698"
"HYB_Quad_Storey","9442","8291","7086","5937","4788","3656","2594","1597","698"
"raw_BH","8135","7193","6202","5276","4291","3302","2402","1502","680"
"oracle_adaptive_BH","9446","8296","7091","5946","4802","3651","2588","1598","698"
"STOREY","9420","8276","7089","5926","4808","3711","2590","1613","678"
"PC_DM","9312","8207","7045","5902","4789","3692","2590","1608","678"
"HYB_PC_STO","9422","8277","7091","5924","4808","3706","2596","1615","680"
"PC_QUAD","9402","8264","7083","5920","4805","3699","2599","1615","680"
