"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"PC","221","192","94","45","45","30","0","9","2"
"PC_ZZD","221","192","94","45","45","30","0","9","2"
"BH","92","94","46","23","22","25","0","9","2"
"oracle_ABH","434","286","172","74","54","33","0","9","2"
"PC","236","129","89","92","34","24","22","3","0"
"PC_ZZD","236","129","88","92","34","24","22","3","0"
"BH","65","53","34","51","20","22","13","3","0"
"oracle_ABH","430","270","159","120","54","30","23","3","0"
"PC","243","168","93","33","57","19","14","7","0"
"PC_ZZD","243","168","93","33","57","19","14","7","0"
"BH","106","61","43","14","36","13","12","7","0"
"oracle_ABH","443","302","147","98","70","23","16","7","0"
"PC","200","128","103","98","24","42","16","0","4"
"PC_ZZD","200","123","103","98","24","42","16","0","4"
"BH","101","57","55","27","14","31","11","0","4"
"oracle_ABH","418","260","180","131","33","42","18","0","4"
"PC","257","124","139","86","21","26","29","2","2"
"PC_ZZD","257","123","139","85","21","26","29","2","2"
"BH","122","57","69","36","10","14","17","2","2"
"oracle_ABH","437","258","210","121","44","29","29","2","2"
"PC","227","197","128","82","29","37","19","4","3"
"PC_ZZD","227","197","128","80","29","37","19","4","3"
"BH","84","76","39","54","0","29","13","3","3"
"oracle_ABH","420","315","206","118","41","44","19","4","3"
"PC","211","201","120","71","59","31","13","0","2"
"PC_ZZD","211","201","119","71","59","29","13","0","2"
"BH","85","74","20","52","27","12","12","0","2"
"oracle_ABH","423","300","185","107","81","36","19","0","2"
"PC","235","148","98","72","30","28","10","9","0"
"PC_ZZD","235","148","98","72","30","28","10","9","0"
"BH","105","67","54","21","15","20","7","9","0"
"oracle_ABH","440","255","177","98","59","29","10","12","0"
"PC","229","161","92","75","19","48","13","3","1"
"PC_ZZD","229","161","92","75","19","39","13","3","1"
"BH","90","68","46","41","12","25","4","3","1"
"oracle_ABH","431","289","159","117","49","51","14","3","1"
"PC","188","160","103","64","29","17","21","2","4"
"PC_ZZD","188","160","102","64","29","17","21","2","4"
"BH","77","71","50","27","19","11","12","1","4"
"oracle_ABH","435","266","175","84","51","32","24","2","4"
"PC","221","178","152","55","33","36","3","8","2"
"PC_ZZD","221","178","152","55","33","36","3","3","2"
"BH","106","69","69","31","14","22","3","3","2"
"oracle_ABH","429","306","200","74","49","48","3","9","2"
"PC","233","167","125","79","63","32","19","3","1"
"PC_ZZD","233","167","125","79","63","32","19","3","1"
"BH","75","75","56","49","45","26","12","3","1"
"oracle_ABH","431","269","170","118","83","34","21","3","1"
"PC","232","143","120","72","38","16","7","15","2"
"PC_ZZD","232","143","120","72","38","16","7","15","2"
"BH","115","53","46","35","22","12","5","13","2"
"oracle_ABH","431","270","167","120","58","19","7","15","3"
"PC","218","125","108","67","29","15","6","3","1"
"PC_ZZD","218","125","103","67","29","9","6","3","1"
"BH","89","59","57","18","18","8","2","3","0"
"oracle_ABH","430","250","189","96","41","19","10","3","1"
"PC","266","179","91","67","46","31","9","2","0"
"PC_ZZD","266","179","91","67","46","31","9","2","0"
"BH","79","75","44","20","22","20","9","2","0"
"oracle_ABH","447","282","164","112","60","34","13","2","0"
"PC","169","152","112","47","58","27","9","3","1"
"PC_ZZD","169","152","110","47","58","26","7","3","1"
"BH","63","84","46","16","37","11","7","3","1"
"oracle_ABH","425","298","192","100","70","27","9","5","1"
"PC","161","122","121","57","44","33","20","1","1"
"PC_ZZD","160","122","120","57","44","33","20","1","1"
"BH","83","48","49","34","23","25","19","1","1"
"oracle_ABH","416","257","190","120","68","48","20","1","1"
"PC","206","131","106","61","21","18","6","5","1"
"PC_ZZD","205","131","106","61","21","18","6","5","1"
"BH","28","58","49","37","15","11","6","5","1"
"oracle_ABH","427","258","161","98","44","27","7","5","1"
"PC","212","146","108","73","46","20","9","2","0"
"PC_ZZD","212","145","108","73","46","20","9","2","0"
"BH","94","73","52","39","28","18","8","0","0"
"oracle_ABH","425","262","177","106","62","25","9","2","0"
"PC","149","193","111","52","37","36","7","5","1"
"PC_ZZD","149","193","111","52","37","36","7","5","1"
"BH","58","68","51","24","32","29","1","5","1"
"oracle_ABH","416","312","150","89","55","41","7","5","1"
"PC","216","139","126","73","48","25","1","1","3"
"PC_ZZD","216","139","126","73","48","24","1","1","3"
"BH","72","49","63","42","24","18","0","1","3"
"oracle_ABH","435","298","181","87","56","31","2","1","3"
"PC","208","152","135","72","53","43","12","0","0"
"PC_ZZD","208","152","135","72","53","43","12","0","0"
"BH","65","92","87","26","27","28","5","0","0"
"oracle_ABH","439","254","188","92","78","48","22","0","0"
"PC","276","176","119","39","35","1","1","9","3"
"PC_ZZD","276","176","119","39","35","1","1","9","3"
"BH","90","105","62","18","13","1","1","2","3"
"oracle_ABH","441","290","171","78","47","1","2","9","3"
"PC","240","176","110","62","39","34","0","1","0"
"PC_ZZD","240","176","110","62","39","34","0","1","0"
"BH","107","63","39","45","27","25","0","1","0"
"oracle_ABH","431","296","190","93","49","35","0","1","0"
"PC","180","142","121","52","42","34","9","12","1"
"PC_ZZD","177","142","117","52","42","34","9","12","1"
"BH","53","54","62","37","23","27","8","12","1"
"oracle_ABH","428","281","180","76","57","43","11","12","1"
"PC","214","160","90","73","30","35","8","5","2"
"PC_ZZD","214","160","88","70","30","35","8","5","2"
"BH","68","94","50","42","10","28","8","3","2"
"oracle_ABH","432","281","165","119","49","41","8","11","2"
"PC","237","149","98","63","64","36","26","7","5"
"PC_ZZD","237","148","97","63","64","36","26","7","5"
"BH","83","60","69","23","43","24","24","5","5"
"oracle_ABH","431","255","159","90","72","38","26","8","6"
"PC","198","116","75","54","53","22","2","2","0"
"PC_ZZD","198","116","75","54","53","22","2","2","0"
"BH","86","44","35","24","38","17","0","2","0"
"oracle_ABH","420","263","131","88","64","22","2","2","0"
"PC","204","183","136","89","47","26","20","9","2"
"PC_ZZD","204","183","136","89","47","26","20","9","2"
"BH","86","77","56","48","28","11","18","7","2"
"oracle_ABH","434","292","188","109","66","33","20","9","2"
"PC","196","138","80","100","26","27","10","4","0"
"PC_ZZD","196","137","80","100","26","27","10","4","0"
"BH","63","40","39","60","17","7","5","4","0"
"oracle_ABH","434","265","163","128","46","38","10","4","0"
"PC","219","146","119","59","7","26","6","2","1"
"PC_ZZD","219","146","119","59","7","26","6","2","1"
"BH","99","65","53","26","1","20","6","2","1"
"oracle_ABH","426","294","179","102","23","31","7","2","1"
"PC","221","196","149","52","47","33","26","3","2"
"PC_ZZD","221","196","147","52","47","33","26","3","2"
"BH","91","75","55","38","32","23","23","2","2"
"oracle_ABH","420","307","205","92","67","34","26","3","2"
"PC","259","141","126","84","49","25","16","14","0"
"PC_ZZD","259","141","126","84","49","25","16","14","0"
"BH","68","76","66","46","31","17","7","4","0"
"oracle_ABH","441","249","172","116","75","26","18","14","0"
"PC","228","162","113","68","12","48","11","19","1"
"PC_ZZD","228","162","113","68","0","48","11","19","1"
"BH","76","70","63","38","0","29","11","19","1"
"oracle_ABH","427","294","175","95","32","54","14","19","1"
"PC","233","129","132","90","54","30","8","15","2"
"PC_ZZD","233","129","132","90","54","30","8","15","2"
"BH","80","59","55","43","40","17","6","13","2"
"oracle_ABH","441","272","178","120","69","35","11","15","2"
"PC","252","121","118","84","53","39","14","3","0"
"PC_ZZD","252","119","118","84","53","39","14","3","0"
"BH","69","61","39","61","22","30","10","3","0"
"oracle_ABH","432","277","179","119","63","45","15","5","0"
"PC","239","173","94","93","53","13","11","0","0"
"PC_ZZD","239","173","94","92","53","13","11","0","0"
"BH","87","86","49","53","41","11","7","0","0"
"oracle_ABH","437","291","166","125","63","18","12","0","0"
"PC","228","130","92","75","34","19","11","8","0"
"PC_ZZD","228","130","92","75","33","19","10","8","0"
"BH","105","47","44","36","17","12","7","7","0"
"oracle_ABH","427","262","169","112","50","25","11","8","0"
"PC","200","120","125","45","45","9","10","4","0"
"PC_ZZD","200","120","125","45","45","9","10","4","0"
"BH","74","40","66","35","16","6","7","4","0"
"oracle_ABH","435","258","188","89","63","13","10","4","0"
"PC","285","194","145","80","64","40","18","23","3"
"PC_ZZD","285","194","145","80","64","40","18","23","3"
"BH","117","96","70","21","33","35","14","19","3"
"oracle_ABH","441","309","181","137","75","45","23","23","3"
"PC","226","196","90","77","67","27","2","17","0"
"PC_ZZD","226","196","90","76","67","27","2","17","0"
"BH","88","106","41","24","13","20","2","11","0"
"oracle_ABH","439","316","179","106","75","35","2","17","0"
