"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"STOREY","9437","7843","6604","5405","4065","2932","1999","1091","395"
"PC","9071","7612","6469","5298","4011","2886","1984","1091","396"
"PC_STOREY","9453","7849","6612","5413","4072","2938","2001","1094","396"
"QUAD","9324","7801","6592","5383","4058","2928","1994","1096","396"
"PC_ZZD","9071","7611","6466","5290","4007","2881","1982","1091","395"
"QUAD_STOREY","9464","7856","6620","5416","4078","2939","2002","1096","396"
"BH","6749","5831","5063","4197","3310","2461","1770","985","364"
"oracle_ABH","9453","7953","6645","5387","4087","2939","2002","1100","397"
"STOREY","9339","7884","6642","5254","4144","2892","1926","1083","366"
"PC","9022","7632","6483","5159","4079","2874","1895","1076","364"
"PC_STOREY","9347","7907","6663","5262","4144","2899","1926","1083","365"
"QUAD","9271","7835","6627","5239","4138","2901","1916","1083","364"
"PC_ZZD","9021","7630","6479","5157","4073","2874","1893","1072","359"
"QUAD_STOREY","9356","7922","6681","5269","4143","2912","1926","1083","359"
"BH","6810","5815","5066","4115","3319","2434","1648","973","332"
"oracle_ABH","9395","7960","6662","5319","4161","2923","1912","1083","366"
"STOREY","9336","8038","6485","5514","4023","2992","1989","1047","420"
"PC","8940","7794","6278","5380","3941","2953","1966","1041","416"
"PC_STOREY","9360","8043","6492","5516","4018","2992","1993","1046","420"
"QUAD","9249","7983","6421","5458","3978","2980","1989","1046","416"
"PC_ZZD","8940","7792","6278","5371","3937","2952","1966","1041","416"
"QUAD_STOREY","9388","8048","6501","5514","4009","2990","1994","1046","418"
"BH","6673","5930","4924","4274","3249","2561","1734","941","401"
"oracle_ABH","9416","8068","6519","5482","4018","2992","1987","1053","420"
"STOREY","9255","8040","6621","5471","4129","2918","1975","1101","403"
"PC","8880","7771","6438","5359","4059","2895","1942","1095","401"
"PC_STOREY","9261","8055","6624","5474","4130","2919","1979","1098","403"
"QUAD","9165","7994","6588","5460","4111","2913","1977","1097","403"
"PC_ZZD","8880","7770","6437","5355","4057","2889","1942","1093","399"
"QUAD_STOREY","9263","8082","6626","5478","4133","2925","1996","1097","403"
"BH","6642","5894","5024","4226","3332","2470","1704","993","354"
"oracle_ABH","9369","8056","6631","5467","4130","2925","1972","1113","401"
"STOREY","9303","7882","6582","5261","4000","2925","2021","1089","369"
"PC","8952","7659","6393","5127","3960","2889","2015","1079","371"
"PC_STOREY","9325","7894","6588","5264","4000","2925","2025","1089","371"
"QUAD","9228","7847","6532","5217","3993","2920","2021","1088","372"
"PC_ZZD","8951","7659","6392","5122","3956","2888","2015","1079","370"
"QUAD_STOREY","9329","7913","6595","5273","4000","2927","2032","1089","372"
"BH","6666","5948","4949","4129","3247","2456","1799","993","354"
"oracle_ABH","9391","7984","6610","5275","4047","2943","2016","1088","372"
"STOREY","9220","7986","6562","5313","4100","2874","1967","1126","390"
"PC","8898","7799","6396","5175","4008","2821","1956","1125","388"
"PC_STOREY","9247","7990","6578","5319","4101","2873","1969","1127","390"
"QUAD","9154","7944","6546","5290","4067","2850","1974","1130","390"
"PC_ZZD","8896","7796","6395","5175","4005","2820","1956","1125","388"
"QUAD_STOREY","9273","7998","6586","5326","4101","2872","1976","1130","390"
"BH","6702","5823","4977","4098","3398","2382","1713","1031","371"
"oracle_ABH","9354","8039","6617","5318","4102","2897","1979","1143","390"
"STOREY","9381","8065","6574","5256","4146","3087","1828","1075","436"
"PC","9070","7783","6415","5129","4055","3028","1815","1067","434"
"PC_STOREY","9384","8065","6575","5255","4147","3082","1828","1076","438"
"QUAD","9317","7997","6540","5213","4124","3057","1828","1072","436"
"PC_ZZD","9070","7782","6411","5126","4052","3021","1814","1067","434"
"QUAD_STOREY","9391","8065","6576","5251","4149","3080","1829","1076","439"
"BH","6872","5962","5042","4110","3331","2566","1604","958","418"
"oracle_ABH","9420","8084","6624","5285","4139","3076","1843","1075","432"
