"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"QUAD_STOREY","1060","638","183","112","69","31","2","6","0"
"BH","80","59","39","39","0","6","0","6","0"
"oracle_ABH","6680","2468","854","254","116","33","3","6","0"
"STOREY","870","565","368","124","38","0","0","3","0"
"PC","479","261","271","95","32","0","0","3","0"
"PC_STOREY","1015","611","375","128","39","0","0","3","0"
"QUAD","780","508","345","112","38","0","0","3","0"
"PC_ZZD","479","261","268","95","32","0","0","3","0"
"QUAD_STOREY","1123","698","386","135","39","0","0","3","0"
"BH","78","76","71","43","31","0","0","1","0"
"oracle_ABH","6678","2454","946","278","93","22","4","6","0"
"STOREY","988","575","121","163","59","4","7","4","0"
"PC","581","418","81","106","35","3","7","4","0"
"PC_STOREY","1105","626","122","167","61","4","7","4","0"
"QUAD","869","546","119","133","55","4","7","4","0"
"PC_ZZD","581","418","81","106","35","3","7","4","0"
"QUAD_STOREY","1271","695","142","185","61","4","7","4","0"
"BH","111","144","45","28","1","2","7","3","0"
"oracle_ABH","6911","2537","698","415","148","5","7","5","0"
"STOREY","1123","571","222","65","65","23","7","4","0"
"PC","588","343","130","52","53","4","7","4","0"
"PC_STOREY","1221","627","274","65","67","23","7","4","0"
"QUAD","988","539","211","63","65","23","7","4","0"
"PC_ZZD","584","342","130","52","53","4","7","4","0"
"QUAD_STOREY","1439","676","295","68","68","23","7","4","0"
"BH","134","80","38","14","15","4","4","4","0"
"oracle_ABH","6981","2642","925","256","107","49","7","4","0"
"STOREY","1136","571","260","85","90","0","17","1","0"
"PC","634","240","174","59","52","0","15","1","0"
"PC_STOREY","1270","655","283","95","91","0","17","1","0"
"QUAD","1043","522","248","85","87","0","17","1","0"
"PC_ZZD","634","240","172","59","52","0","15","1","0"
"QUAD_STOREY","1421","695","318","110","92","0","17","1","0"
"BH","213","24","88","26","30","0","13","1","0"
"oracle_ABH","6825","2341","1008","260","141","35","21","2","0"
"STOREY","956","529","212","155","20","18","0","0","3"
"PC","448","216","149","117","15","17","0","0","3"
"PC_STOREY","1120","607","247","157","49","18","0","0","3"
"QUAD","905","453","180","150","20","18","0","0","3"
"PC_ZZD","448","216","149","117","15","17","0","0","3"
"QUAD_STOREY","1319","679","306","177","50","19","0","0","3"
"BH","118","61","46","65","6","13","0","0","3"
"oracle_ABH","6916","2526","789","285","87","23","0","0","3"
"STOREY","1153","427","267","125","56","1","0","0","1"
"PC","454","258","158","79","6","1","0","0","1"
"PC_STOREY","1272","497","308","128","57","1","0","0","1"
"QUAD","873","412","263","124","50","1","0","0","1"
"PC_ZZD","454","258","158","79","6","1","0","0","1"
"QUAD_STOREY","1385","560","339","134","58","1","0","0","1"
"BH","111","88","69","34","5","1","0","0","1"
"oracle_ABH","6963","2527","757","298","101","27","18","0","1"
"STOREY","979","477","226","132","35","23","18","10","0"
"PC","524","267","125","104","31","16","17","10","0"
"PC_STOREY","1124","559","255","133","37","23","18","10","0"
"QUAD","910","416","216","129","35","23","18","10","0"
"PC_ZZD","524","267","125","103","31","16","17","10","0"
"QUAD_STOREY","1291","608","293","180","37","23","18","10","0"
"BH","32","96","41","46","9","13","11","10","0"
"oracle_ABH","6990","2393","858","395","59","26","18","10","0"
"STOREY","1082","487","207","129","18","6","1","0","0"
"PC","646","248","159","63","11","5","1","0","0"
"PC_STOREY","1248","533","225","139","18","6","1","0","0"
"QUAD","1027","446","199","128","18","6","1","0","0"
"PC_ZZD","637","248","158","63","11","5","1","0","0"
"QUAD_STOREY","1355","594","248","139","18","6","1","0","0"
"BH","92","71","32","34","7","5","0","0","0"
"oracle_ABH","6852","2505","835","335","66","16","1","0","0"
"STOREY","1028","506","268","103","20","7","6","2","0"
"PC","572","329","154","70","15","4","5","2","0"
"PC_STOREY","1217","558","272","111","20","18","10","2","0"
"QUAD","942","484","244","95","15","7","6","2","0"
"PC_ZZD","572","321","154","70","15","4","5","2","0"
"QUAD_STOREY","1392","592","285","123","20","18","10","2","0"
"BH","174","72","15","43","3","4","3","2","0"
"oracle_ABH","6873","2485","861","228","36","29","11","2","0"
"STOREY","1173","735","188","125","62","2","11","0","2"
"PC","722","315","128","95","36","2","11","0","2"
"PC_STOREY","1291","781","224","128","67","2","11","0","2"
"QUAD","1118","669","184","125","56","2","11","0","2"
"PC_ZZD","721","307","128","95","36","2","11","0","2"
"QUAD_STOREY","1490","848","243","137","73","2","11","0","2"
"BH","186","83","80","2","9","1","10","0","2"
"oracle_ABH","6916","2561","829","317","143","2","13","0","2"
"STOREY","1098","460","287","124","50","14","7","3","0"
"PC","536","241","170","62","42","11","7","3","0"
"PC_STOREY","1210","494","309","126","53","20","7","3","0"
"QUAD","948","404","270","121","50","14","7","3","0"
"PC_ZZD","533","241","170","62","42","11","7","3","0"
"QUAD_STOREY","1391","590","316","140","53","20","8","3","0"
"BH","132","15","44","9","31","11","7","3","0"
"oracle_ABH","6778","2548","814","299","123","32","8","3","0"
"STOREY","1067","625","137","138","8","11","0","0","0"
"PC","506","360","103","91","8","10","0","0","0"
"PC_STOREY","1182","740","199","141","8","11","0","0","0"
"QUAD","910","560","134","129","8","11","0","0","0"
"PC_ZZD","505","358","101","91","8","10","0","0","0"
"QUAD_STOREY","1309","828","205","152","8","13","0","0","0"
"BH","112","76","53","20","2","10","0","0","0"
"oracle_ABH","6849","2434","791","280","21","13","0","0","0"
"STOREY","984","469","303","118","54","9","3","1","0"
"PC","464","268","174","68","53","8","3","1","0"
"PC_STOREY","1143","531","311","123","57","10","4","1","0"
"QUAD","825","417","277","114","54","8","3","1","0"
"PC_ZZD","464","268","174","68","53","8","3","1","0"
"QUAD_STOREY","1291","585","336","124","59","10","4","1","0"
"BH","101","76","75","16","25","6","3","1","0"
"oracle_ABH","6790","2459","922","304","77","39","4","1","0"
"STOREY","930","472","357","53","32","0","6","6","1"
"PC","517","229","241","43","30","0","6","6","1"
"PC_STOREY","1050","542","390","56","34","0","6","6","1"
"QUAD","825","430","321","53","32","0","6","6","1"
"PC_ZZD","517","229","241","43","30","0","6","6","1"
"QUAD_STOREY","1188","567","436","79","39","32","6","6","1"
"BH","158","68","40","17","23","0","1","4","0"
"oracle_ABH","6807","2405","1048","264","94","43","12","9","1"
"STOREY","973","626","206","101","19","16","2","3","1"
"PC","556","367","131","72","15","12","2","3","1"
"PC_STOREY","1118","697","209","113","20","16","2","3","1"
"QUAD","879","600","202","98","17","14","2","3","1"
"PC_ZZD","555","362","131","72","15","12","2","3","1"
"QUAD_STOREY","1236","771","259","146","20","17","2","3","1"
"BH","139","74","36","26","10","11","2","3","1"
"oracle_ABH","6830","2525","923","318","26","42","2","5","2"
"STOREY","1039","595","202","77","38","18","6","0","0"
"PC","514","332","116","62","29","18","6","0","0"
"PC_STOREY","1200","663","223","90","39","18","6","0","0"
"QUAD","987","558","182","77","36","18","6","0","0"
"PC_ZZD","514","332","116","62","29","18","6","0","0"
"QUAD_STOREY","1432","716","255","95","40","18","6","0","0"
"BH","70","63","42","8","18","9","6","0","0"
"oracle_ABH","6921","2513","879","291","89","37","6","0","0"
"STOREY","1000","556","166","45","44","3","8","2","0"
"PC","582","304","77","38","26","3","6","2","0"
"PC_STOREY","1159","670","186","57","44","3","8","2","0"
"QUAD","907","526","162","45","35","3","6","2","0"
"PC_ZZD","574","304","77","38","26","3","6","2","0"
"QUAD_STOREY","1324","734","218","59","44","3","8","2","0"
"BH","75","32","11","27","11","1","5","2","0"
"oracle_ABH","6947","2607","782","264","106","19","9","2","0"
"STOREY","1164","522","220","92","69","1","8","1","0"
"PC","575","263","116","66","13","1","6","1","0"
"PC_STOREY","1375","561","251","104","72","1","8","1","0"
"QUAD","1055","496","205","79","69","1","8","1","0"
"PC_ZZD","575","232","116","66","13","1","6","1","0"
"QUAD_STOREY","1550","653","291","112","73","1","8","1","0"
"BH","97","53","23","15","11","1","4","1","0"
"oracle_ABH","6942","2435","1036","309","101","1","9","1","0"
"STOREY","1239","498","237","127","67","46","9","0","0"
"PC","525","297","146","97","48","28","9","0","0"
"PC_STOREY","1376","603","305","139","67","46","9","0","0"
"QUAD","1044","463","217","124","67","46","9","0","0"
"PC_ZZD","524","297","146","97","48","28","9","0","0"
"QUAD_STOREY","1504","647","322","141","67","48","9","0","0"
"BH","44","19","61","54","20","12","9","0","0"
"oracle_ABH","6951","2503","960","335","88","51","10","0","0"
