"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"oracle_adaptive_BH","6855","2603","879","314","109","33","2","9","0","0"
"STOREY","155","156","20","10","10","10","1","1","0","0"
"PC_DM","594","258","110","74","11","18","1","1","0","0"
"HYB_PC_STO","615","262","119","75","11","18","1","1","0","0"
"PC_QUAD","989","414","253","127","15","21","1","1","0","0"
"PC_ZZD","591","258","110","74","11","18","1","1","0","0"
"HYB_Quad_Storey","989","414","253","127","15","21","1","1","0","0"
"raw_BH","41","117","9","10","8","5","1","1","0","0"
"oracle_adaptive_BH","6986","2545","936","233","44","27","1","1","0","0"
"STOREY","109","54","53","45","0","5","10","3","0","0"
"PC_DM","402","186","96","86","19","5","10","3","0","0"
"HYB_PC_STO","407","186","113","88","19","5","10","3","0","0"
"PC_QUAD","895","349","217","100","42","7","17","3","0","0"
"PC_ZZD","396","186","96","86","19","5","10","3","0","0"
"HYB_Quad_Storey","895","349","217","100","42","7","17","3","0","0"
"raw_BH","48","30","27","43","0","5","8","3","0","0"
"oracle_adaptive_BH","6804","2304","837","267","116","10","20","4","0","0"
"STOREY","188","107","76","42","10","8","7","0","0","0"
"PC_DM","451","284","145","52","23","10","8","0","0","0"
"HYB_PC_STO","454","289","145","52","23","10","8","0","0","0"
"PC_QUAD","823","430","241","87","25","10","8","0","0","0"
"PC_ZZD","451","284","145","52","23","10","8","0","0","0"
"HYB_Quad_Storey","824","430","243","87","25","10","8","0","0","0"
"raw_BH","71","61","57","42","10","8","7","0","0","0"
"oracle_adaptive_BH","6906","2440","991","282","86","16","8","0","0","0"
"STOREY","171","93","78","24","37","27","1","3","0","0"
"PC_DM","508","263","145","38","58","32","1","3","0","0"
"HYB_PC_STO","539","264","146","38","59","32","1","3","0","0"
"PC_QUAD","897","473","242","118","64","35","1","3","0","0"
"PC_ZZD","508","263","145","38","58","32","1","3","0","0"
"HYB_Quad_Storey","897","473","242","118","66","35","1","3","0","0"
"raw_BH","80","57","55","15","37","26","1","3","0","0"
"oracle_adaptive_BH","6787","2548","981","349","125","35","1","3","0","0"
"STOREY","184","143","86","14","21","3","2","2","1","0"
"PC_DM","479","258","189","49","24","3","2","2","1","0"
"HYB_PC_STO","483","258","189","49","24","3","2","2","1","0"
"PC_QUAD","738","436","262","75","45","14","2","2","2","0"
"PC_ZZD","479","258","188","49","24","3","2","2","1","0"
"HYB_Quad_Storey","748","436","264","75","45","14","2","2","2","0"
"raw_BH","151","88","63","12","19","3","2","2","1","0"
"oracle_adaptive_BH","6829","2527","845","307","87","21","3","2","2","0"
"STOREY","231","153","101","22","3","25","3","3","0","0"
"PC_DM","602","271","145","104","7","32","3","3","0","0"
"HYB_PC_STO","645","281","148","104","7","32","3","3","0","0"
"PC_QUAD","1052","474","212","156","7","38","3","3","0","0"
"PC_ZZD","602","271","145","104","7","32","3","3","0","0"
"HYB_Quad_Storey","1052","474","212","156","7","38","3","3","0","0"
"raw_BH","80","108","52","16","3","24","3","3","0","0"
"oracle_adaptive_BH","7003","2519","876","283","55","54","3","3","0","0"
"STOREY","125","141","67","44","45","56","5","0","2","0"
"PC_DM","478","286","134","95","48","62","14","0","2","0"
"HYB_PC_STO","499","295","136","99","49","64","14","0","2","0"
"PC_QUAD","793","449","271","112","54","70","14","0","2","0"
"PC_ZZD","464","286","134","95","48","62","14","0","2","0"
"HYB_Quad_Storey","803","449","271","112","54","70","14","0","2","0"
"raw_BH","101","48","24","28","22","46","5","0","2","0"
"oracle_adaptive_BH","6945","2537","838","252","97","77","14","0","2","0"
"STOREY","124","92","44","61","23","4","2","0","1","1"
"PC_DM","450","252","86","86","32","4","2","0","1","1"
"HYB_PC_STO","461","270","86","97","40","4","2","0","1","1"
"PC_QUAD","907","421","195","106","45","4","2","0","1","1"
"PC_ZZD","450","251","86","86","32","4","2","0","1","1"
"HYB_Quad_Storey","907","421","195","106","45","4","2","0","1","1"
"raw_BH","92","60","35","54","19","4","2","0","1","1"
"oracle_adaptive_BH","6903","2528","813","290","131","8","2","0","1","1"
"STOREY","144","234","123","22","3","1","0","4","0","0"
"PC_DM","329","455","223","62","47","1","0","5","0","0"
"HYB_PC_STO","334","455","226","62","47","1","0","5","0","0"
"PC_QUAD","706","618","294","93","51","11","0","5","0","0"
"PC_ZZD","329","455","221","62","47","1","0","5","0","0"
"HYB_Quad_Storey","706","618","294","93","51","11","0","5","0","0"
"raw_BH","58","119","96","11","3","1","0","4","0","0"
"oracle_adaptive_BH","6731","2718","1000","257","122","19","0","6","0","0"
"STOREY","193","203","43","28","19","13","1","5","0","0"
"PC_DM","516","436","117","56","28","13","1","6","0","0"
"HYB_PC_STO","533","446","121","56","28","13","1","6","0","0"
"PC_QUAD","977","646","193","73","51","13","1","6","0","0"
"PC_ZZD","514","435","117","56","28","13","1","6","0","0"
"HYB_Quad_Storey","977","650","193","73","51","13","1","6","0","0"
"raw_BH","139","88","27","23","19","13","0","4","0","0"
"oracle_adaptive_BH","6774","2501","728","218","100","20","1","6","0","0"
"STOREY","248","151","48","84","0","11","3","1","0","0"
"PC_DM","681","312","90","136","0","16","8","1","0","0"
"HYB_PC_STO","702","323","92","137","0","16","8","1","0","0"
"PC_QUAD","996","481","138","171","0","17","8","1","0","0"
"PC_ZZD","660","312","90","136","0","16","8","1","0","0"
"HYB_Quad_Storey","996","481","138","171","0","17","8","1","0","0"
"raw_BH","171","90","32","57","0","7","3","1","0","0"
"oracle_adaptive_BH","6850","2455","765","371","58","48","8","1","0","0"
"STOREY","154","173","17","29","9","10","8","0","0","0"
"PC_DM","629","361","85","41","26","12","8","0","0","0"
"HYB_PC_STO","643","365","85","41","26","12","8","0","0","0"
"PC_QUAD","1013","511","141","83","65","12","8","0","0","0"
"PC_ZZD","628","361","85","41","26","12","8","0","0","0"
"HYB_Quad_Storey","1013","511","141","83","65","12","8","0","0","0"
"raw_BH","85","82","12","26","4","10","8","0","0","0"
