"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","1","0","0","0","0","0","0","0","0","0"
"PC_DM","1","1","0","0","0","0","0","0","0","0"
"HYB_PC_STO","1","1","0","0","0","0","0","0","0","0"
"PC_QUAD","1","1","0","0","0","0","0","0","0","0"
"PC_ZZD","1","1","0","0","0","0","0","0","0","0"
"HYB_Quad_Storey","1","1","0","0","0","0","0","0","0","0"
"raw_BH","1","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","2545","17","1","0","0","0","0","0","0","0"
"STOREY","2","0","0","1","0","0","0","0","0","0"
"PC_DM","2","0","0","1","0","0","0","0","0","0"
"HYB_PC_STO","2","0","0","1","0","0","0","0","0","0"
"PC_QUAD","2","0","0","1","0","0","0","0","0","0"
"PC_ZZD","2","0","0","1","0","0","0","0","0","0"
"HYB_Quad_Storey","2","0","0","1","0","0","0","0","0","0"
"raw_BH","1","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","2154","60","14","1","0","0","0","0","0","0"
"STOREY","3","0","0","1","0","0","0","1","0","0"
"PC_DM","3","0","0","1","0","0","0","1","0","0"
"HYB_PC_STO","3","0","0","1","0","0","0","1","0","0"
"PC_QUAD","3","0","0","1","1","0","0","1","0","0"
"PC_ZZD","3","0","0","1","0","0","0","1","0","0"
"HYB_Quad_Storey","3","0","0","1","1","0","0","1","0","0"
"raw_BH","3","0","0","1","0","0","0","1","0","0"
"oracle_adaptive_BH","2424","130","9","1","1","0","0","1","0","0"
"STOREY","1","1","0","0","0","0","1","0","0","0"
"PC_DM","1","1","0","0","0","0","1","0","0","0"
"HYB_PC_STO","1","1","0","0","0","0","1","0","0","0"
"PC_QUAD","1","1","0","0","0","0","1","0","0","0"
"PC_ZZD","1","1","0","0","0","0","1","0","0","0"
"HYB_Quad_Storey","1","1","0","0","0","0","1","0","0","0"
"raw_BH","1","1","0","0","0","0","1","0","0","0"
"oracle_adaptive_BH","2212","73","4","0","0","0","1","0","0","0"
"STOREY","0","0","0","0","2","0","1","1","0","0"
"PC_DM","0","4","0","0","2","0","1","1","0","0"
"HYB_PC_STO","0","4","0","0","2","0","1","1","0","0"
"PC_QUAD","2","5","0","0","2","0","1","1","0","0"
"PC_ZZD","0","4","0","0","2","0","1","1","0","0"
"HYB_Quad_Storey","2","5","0","0","2","0","1","1","0","0"
"raw_BH","0","0","0","0","2","0","1","1","0","0"
"oracle_adaptive_BH","1984","31","22","0","4","0","1","2","0","0"
"STOREY","1","0","0","0","0","0","0","0","0","0"
"PC_DM","1","2","0","0","0","0","0","2","0","0"
"HYB_PC_STO","1","2","0","0","0","0","0","2","0","0"
"PC_QUAD","4","2","0","0","0","0","0","2","0","0"
"PC_ZZD","1","2","0","0","0","0","0","2","0","0"
"HYB_Quad_Storey","4","2","0","0","0","0","0","2","0","0"
"raw_BH","1","0","0","0","0","0","0","0","0","0"
"oracle_adaptive_BH","2472","60","0","0","0","0","0","2","0","0"
"STOREY","1","0","2","0","0","0","0","0","0","0"
"PC_DM","1","0","2","0","0","0","0","0","0","0"
"HYB_PC_STO","1","0","2","0","0","0","0","0","0","0"
"PC_QUAD","1","0","2","0","0","0","0","0","0","0"
"PC_ZZD","1","0","2","0","0","0","0","0","0","0"
