"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","8546","7389","6034","4970","3904","2811","1907","1025","367","0"
"PC_DM","9051","7751","6299","5149","4040","2885","1946","1043","369","0"
"HYB_PC_STO","9104","7796","6320","5178","4052","2893","1950","1046","369","0"
"PC_QUAD","9271","7935","6415","5237","4102","2916","1954","1051","369","0"
"PC_ZZD","9051","7749","6299","5148","4040","2883","1946","1043","367","0"
"HYB_Quad_Storey","9272","7937","6416","5237","4102","2916","1955","1051","369","0"
"raw_BH","6807","5991","4925","4161","3346","2446","1706","954","347","0"
"oracle_adaptive_BH","9409","8017","6524","5301","4117","2920","1966","1052","372","0"
"STOREY","8512","7360","6283","5006","3898","2853","1882","1093","373","0"
"PC_DM","9030","7815","6592","5235","4004","2935","1916","1103","373","0"
"HYB_PC_STO","9083","7873","6619","5258","4008","2952","1917","1103","373","0"
"PC_QUAD","9273","8033","6716","5320","4042","2981","1926","1111","373","0"
"PC_ZZD","9029","7808","6588","5235","4004","2934","1915","1103","373","0"
"HYB_Quad_Storey","9276","8037","6718","5321","4042","2981","1926","1111","373","0"
"raw_BH","6779","5925","5142","4209","3351","2495","1684","994","357","0"
"oracle_adaptive_BH","9409","8098","6738","5331","4070","2980","1936","1111","377","0"
"STOREY","8559","7316","6133","5071","3815","2910","1925","1116","353","0"
"PC_DM","9014","7681","6375","5227","3943","2996","1953","1134","357","0"
"HYB_PC_STO","9076","7730","6407","5246","3957","3009","1958","1134","358","0"
"PC_QUAD","9304","7878","6479","5295","4015","3031","1962","1138","359","0"
"PC_ZZD","9013","7681","6375","5226","3941","2996","1951","1134","357","0"
"HYB_Quad_Storey","9307","7880","6479","5295","4016","3032","1962","1138","359","0"
"raw_BH","6871","5938","5057","4214","3298","2517","1746","1028","337","0"
"oracle_adaptive_BH","9419","7983","6589","5349","4032","3038","1985","1143","360","0"
"STOREY","8441","7329","6111","4932","3762","2726","1839","1118","382","0"
"PC_DM","8965","7732","6451","5148","3928","2822","1903","1133","382","0"
"HYB_PC_STO","9020","7789","6500","5185","3954","2832","1915","1134","382","0"
"PC_QUAD","9208","7933","6594","5252","3991","2845","1944","1136","382","0"
"PC_ZZD","8965","7732","6448","5144","3925","2820","1903","1133","382","0"
"HYB_Quad_Storey","9211","7935","6594","5253","3991","2845","1944","1136","382","0"
"raw_BH","6687","5898","4981","4151","3222","2356","1636","1041","374","0"
"oracle_adaptive_BH","9388","8044","6669","5306","4016","2856","1930","1145","382","0"
"STOREY","8490","7188","6125","4871","3870","2870","1810","1087","324","0"
"PC_DM","8964","7602","6412","5055","3977","2939","1846","1108","324","0"
"HYB_PC_STO","9014","7659","6447","5066","3991","2951","1849","1108","324","0"
"PC_QUAD","9195","7829","6536","5124","4031","2979","1865","1118","324","0"
"PC_ZZD","8964","7599","6412","5052","3975","2939","1845","1105","324","0"
"HYB_Quad_Storey","9198","7830","6539","5124","4033","2979","1865","1118","324","0"
"raw_BH","6696","5798","4988","4095","3302","2513","1605","1014","320","0"
"oracle_adaptive_BH","9383","7971","6616","5191","4075","2983","1879","1117","324","0"
"STOREY","8481","7186","6157","4962","3806","2811","1902","1108","367","0"
"PC_DM","8972","7624","6451","5197","3941","2884","1952","1136","367","0"
"HYB_PC_STO","9025","7671","6484","5216","3952","2886","1954","1136","368","0"
"PC_QUAD","9207","7805","6619","5296","3980","2900","1979","1143","368","0"
"PC_ZZD","8972","7620","6449","5196","3938","2880","1950","1136","367","0"
"HYB_Quad_Storey","9208","7807","6620","5297","3980","2900","1979","1143","368","0"
"raw_BH","6752","5756","5025","4177","3276","2448","1711","1020","347","0"
"oracle_adaptive_BH","9390","7961","6658","5314","4019","2936","1976","1136","374","0"
"STOREY","8563","7368","6248","5072","3926","2917","2020","1059","362","0"
"PC_DM","9082","7783","6511","5258","4040","2996","2057","1081","365","0"
"HYB_PC_STO","9156","7830","6547","5284","4061","3003","2062","1084","366","0"
"PC_QUAD","9343","8004","6667","5347","4088","3027","2072","1090","366","0"
"PC_ZZD","9081","7782","6509","5253","4039","2994","2057","1080","364","0"
"HYB_Quad_Storey","9345","8006","6667","5349","4088","3027","2072","1090","366","0"
"raw_BH","6825","5944","5110","4283","3345","2568","1823","965","355","0"
"oracle_adaptive_BH","9448","8067","6717","5390","4155","3044","2078","1090","366","0"
"STOREY","8490","7260","6096","4840","3888","2867","1958","1109","419","0"
"PC_DM","8934","7651","6432","5082","3996","2976","2011","1136","427","0"
"HYB_PC_STO","8983","7697","6467","5102","4010","2983","2018","1137","427","0"
"PC_QUAD","9157","7829","6595","5152","4046","3010","2025","1144","439","0"
"PC_ZZD","8934","7650","6430","5081","3991","2974","2009","1136","427","0"
"HYB_Quad_Storey","9157","7829","6595","5153","4046","3010","2025","1144","439","0"
"raw_BH","6822","5772","4963","4073","3307","2513","1748","1001","407","0"
"oracle_adaptive_BH","9350","7972","6633","5226","4074","3018","2028","1143","426","0"
"STOREY","8552","7254","5950","5042","3955","2887","1877","1060","319","0"
"PC_DM","9045","7686","6247","5230","4076","2943","1930","1074","336","0"
"HYB_PC_STO","9108","7731","6283","5259","4090","2954","1931","1077","337","0"
"PC_QUAD","9313","7908","6367","5317","4125","2970","1937","1079","337","0"
"PC_ZZD","9043","7685","6244","5228","4072","2941","1929","1074","336","0"
"HYB_Quad_Storey","9315","7909","6369","5317","4125","2970","1937","1079","337","0"
"raw_BH","6784","5864","4920","4293","3404","2503","1688","966","310","0"
"oracle_adaptive_BH","9429","8004","6495","5387","4128","2993","1942","1079","337","0"
"STOREY","8515","7317","6219","4925","3976","2857","1814","1023","347","0"
"PC_DM","9036","7725","6457","5152","4122","2954","1858","1048","350","0"
"HYB_PC_STO","9104","7778","6483","5170","4145","2964","1859","1049","352","0"
"PC_QUAD","9266","7949","6563","5234","4197","2980","1871","1049","354","0"
"PC_ZZD","9035","7721","6457","5151","4119","2954","1855","1046","350","0"
"HYB_Quad_Storey","9270","7951","6570","5235","4197","2980","1871","1049","354","0"
"raw_BH","6797","5865","5128","4069","3307","2537","1644","961","329","0"
"oracle_adaptive_BH","9397","8020","6646","5312","4199","3000","1881","1051","354","0"
"STOREY","8515","7371","5997","4925","3850","2859","1952","1020","340","0"
"PC_DM","8982","7772","6272","5136","3984","2932","1987","1028","341","0"
"HYB_PC_STO","9049","7837","6299","5144","3989","2940","1989","1028","341","0"
"PC_QUAD","9212","7993","6393","5215","4041","2963","1994","1031","341","0"
"PC_ZZD","8982","7767","6271","5134","3979","2931","1987","1028","341","0"
"HYB_Quad_Storey","9217","7993","6393","5215","4042","2964","1994","1031","341","0"
"raw_BH","6765","5961","4962","4115","3296","2463","1737","937","316","0"
"oracle_adaptive_BH","9391","8057","6504","5276","4076","2976","2014","1043","341","0"
"STOREY","8511","7366","6109","4866","3933","2950","1878","1052","379","0"
"PC_DM","9040","7764","6395","5070","4068","3022","1903","1063","383","0"
"HYB_PC_STO","9127","7808","6426","5080","4085","3029","1913","1067","383","0"
"PC_QUAD","9285","7970","6525","5139","4119","3049","1915","1078","386","0"
"PC_ZZD","9039","7762","6392","5067","4067","3020","1902","1061","383","0"
"HYB_Quad_Storey","9289","7975","6525","5139","4121","3049","1915","1078","386","0"
"raw_BH","6746","5918","5052","4103","3374","2601","1676","983","369","0"
"oracle_adaptive_BH","9414","8038","6583","5214","4152","3061","1935","1069","384","0"
"STOREY","8527","7308","5975","4963","3790","2865","1898","1019","383","0"
"PC_DM","9003","7729","6266","5162","3967","2952","1922","1039","385","0"
"HYB_PC_STO","9057","7771","6300","5183","3978","2958","1929","1039","385","0"
"PC_QUAD","9249","7924","6405","5235","4041","3000","1942","1049","398","0"
"PC_ZZD","9001","7726","6261","5159","3966","2952","1920","1039","383","0"
"HYB_Quad_Storey","9253","7928","6408","5239","4042","3000","1942","1049","398","0"
"raw_BH","6784","5876","4871","4160","3249","2502","1679","948","359","0"
"oracle_adaptive_BH","9407","8011","6506","5295","4056","3000","1961","1049","399","0"
"STOREY","8403","7237","6171","4909","3965","2788","2036","1027","395","0"
"PC_DM","8906","7679","6441","5082","4100","2859","2088","1037","401","0"
"HYB_PC_STO","8971","7727","6474","5096","4119","2864","2092","1038","404","0"
"PC_QUAD","9132","7885","6567","5146","4174","2884","2103","1039","404","0"
"PC_ZZD","8905","7678","6439","5080","4099","2859","2087","1037","399","0"
"HYB_Quad_Storey","9134","7887","6569","5147","4174","2884","2103","1039","404","0"
"raw_BH","6689","5881","4973","4081","3321","2458","1833","968","375","0"
"oracle_adaptive_BH","9350","7992","6641","5230","4200","2918","2103","1041","406","0"
"STOREY","8501","7253","6015","5013","3952","2827","1914","1086","333","0"
"PC_DM","8980","7626","6288","5198","4056","2905","1962","1101","336","0"
"HYB_PC_STO","9069","7672","6322","5229","4074","2914","1966","1105","336","0"
"PC_QUAD","9261","7829","6410","5303","4105","2953","1984","1116","340","0"
"PC_ZZD","8979","7625","6284","5191","4056","2901","1962","1101","336","0"
"HYB_Quad_Storey","9265","7832","6411","5304","4105","2953","1984","1116","340","0"
"raw_BH","6787","5920","5009","4118","3377","2455","1720","1018","327","0"
"oracle_adaptive_BH","9413","7973","6505","5323","4118","2954","1974","1117","336","0"
"STOREY","8502","7240","6207","5032","3936","2756","1846","1060","361","0"
"PC_DM","9020","7670","6543","5219","4078","2833","1870","1077","362","0"
"HYB_PC_STO","9075","7715","6571","5241","4085","2846","1874","1078","363","0"
"PC_QUAD","9270","7873","6703","5306","4128","2875","1884","1083","362","0"
"PC_ZZD","9019","7670","6540","5214","4078","2831","1870","1077","361","0"
"HYB_Quad_Storey","9277","7877","6704","5308","4128","2877","1884","1083","362","0"
"raw_BH","6695","5870","5044","4257","3359","2402","1672","991","345","0"
"oracle_adaptive_BH","9405","8010","6719","5365","4144","2899","1892","1083","364","0"
"STOREY","8467","7384","6136","4983","3830","2860","1900","1025","324","0"
"PC_DM","8990","7795","6426","5160","3927","2939","1948","1034","327","0"
"HYB_PC_STO","9043","7842","6463","5177","3937","2944","1952","1037","327","0"
"PC_QUAD","9234","8015","6567","5224","3969","2975","1967","1041","327","0"
"PC_ZZD","8989","7794","6425","5155","3924","2938","1944","1034","327","0"
"HYB_Quad_Storey","9240","8016","6570","5224","3969","2975","1967","1041","327","0"
"raw_BH","6711","5930","4959","4212","3285","2516","1672","943","320","0"
"oracle_adaptive_BH","9401","8085","6632","5289","4023","2988","1965","1041","329","0"
"STOREY","8426","7269","6223","4925","3879","2909","1886","1081","356","0"
"PC_DM","8950","7695","6460","5119","3982","2980","1933","1088","358","0"
"HYB_PC_STO","9025","7747","6498","5134","3995","2984","1935","1088","358","0"
"PC_QUAD","9223","7891","6566","5217","4024","3001","1942","1092","358","0"
"PC_ZZD","8950","7694","6460","5118","3979","2980","1931","1087","358","0"
"HYB_Quad_Storey","9226","7894","6570","5218","4027","3001","1942","1092","358","0"
"raw_BH","6697","5860","5110","4139","3320","2574","1718","994","336","0"
"oracle_adaptive_BH","9386","8022","6659","5273","4082","3026","1955","1091","358","0"
"STOREY","8512","7352","6170","4970","3916","2814","1943","1031","369","0"
"PC_DM","9036","7710","6487","5169","4047","2882","1969","1050","369","0"
"HYB_PC_STO","9100","7765","6524","5188","4057","2891","1969","1053","369","0"
"PC_QUAD","9266","7900","6631","5262","4103","2904","1984","1057","369","0"
