"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","6382","5367","4167","3269","2392","1573","960","479","87","0"
"PC_DM","7669","6298","4844","3704","2620","1730","1007","501","87","0"
"HYB_PC_STO","7779","6377","4892","3733","2633","1737","1009","501","87","0"
"PC_QUAD","8433","6832","5181","3903","2735","1804","1045","509","88","0"
"PC_ZZD","7666","6295","4843","3698","2615","1727","1005","501","87","0"
"HYB_Quad_Storey","8444","6839","5189","3904","2738","1805","1045","509","88","0"
"raw_BH","4469","3945","3074","2442","1872","1282","796","443","86","0"
"oracle_adaptive_BH","9198","7287","5500","4108","2857","1841","1059","519","89","0"
"STOREY","6507","5188","4226","3198","2243","1686","815","462","102","0"
"PC_DM","7824","6206","4947","3580","2523","1817","903","492","103","0"
"HYB_PC_STO","7947","6292","5032","3619","2534","1834","906","503","103","0"
"PC_QUAD","8525","6735","5309","3795","2647","1891","928","513","103","0"
"PC_ZZD","7823","6197","4943","3572","2521","1817","903","490","103","0"
"HYB_Quad_Storey","8528","6737","5312","3797","2647","1891","928","513","103","0"
"raw_BH","4670","3644","3115","2465","1766","1411","704","389","101","0"
"oracle_adaptive_BH","9211","7220","5613","4037","2770","1942","974","523","106","0"
"STOREY","6338","5213","4341","3349","2430","1502","905","402","81","0"
"PC_DM","7647","6081","4986","3751","2705","1669","990","416","85","0"
"HYB_PC_STO","7774","6161","5035","3788","2723","1680","992","416","85","0"
"PC_QUAD","8379","6624","5287","3953","2785","1737","1013","424","85","0"
"PC_ZZD","7646","6077","4982","3750","2699","1666","990","416","85","0"
"HYB_Quad_Storey","8389","6628","5289","3955","2785","1738","1016","424","85","0"
"raw_BH","4542","3739","3199","2503","1979","1229","773","370","75","0"
"oracle_adaptive_BH","9181","7185","5581","4116","2881","1795","1050","431","88","0"
"STOREY","6389","5298","4285","3308","2340","1614","921","465","129","0"
"PC_DM","7746","6236","4943","3716","2597","1720","969","469","129","0"
"HYB_PC_STO","7877","6337","4997","3735","2625","1729","971","469","129","0"
"PC_QUAD","8546","6753","5248","3914","2735","1764","1004","473","130","0"
"PC_ZZD","7741","6230","4933","3707","2595","1717","969","469","129","0"
"HYB_Quad_Storey","8548","6762","5248","3914","2736","1764","1004","473","130","0"
"raw_BH","4481","3716","3156","2483","1831","1314","773","438","124","0"
"oracle_adaptive_BH","9204","7303","5557","4058","2863","1804","1024","482","131","0"
"STOREY","6478","5114","4146","3268","2482","1598","996","466","101","1"
"PC_DM","7673","6210","4782","3675","2751","1782","1043","498","105","1"
"HYB_PC_STO","7779","6285","4830","3702","2763","1791","1047","498","105","1"
