"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","211","208","95","23","15","3","4","2","2","0"
"PC_DM","539","389","224","38","18","3","4","2","2","0"
"HYB_PC_STO","543","417","224","38","18","3","4","2","2","0"
"PC_QUAD","817","596","303","107","32","3","4","2","2","0"
"PC_ZZD","529","388","224","38","17","3","4","2","2","0"
"HYB_Quad_Storey","817","596","303","107","32","3","4","2","2","0"
"raw_BH","162","101","86","13","11","3","4","2","2","0"
"oracle_adaptive_BH","6775","2557","927","340","112","3","4","2","2","0"
"STOREY","214","38","62","29","2","13","0","1","0","0"
"PC_DM","632","287","151","109","14","15","0","1","0","0"
"HYB_PC_STO","655","287","151","136","14","15","0","1","0","0"
"PC_QUAD","1146","476","220","148","18","18","0","1","0","0"
"PC_ZZD","632","287","151","109","10","15","0","1","0","0"
"HYB_Quad_Storey","1147","479","220","148","18","18","0","1","0","0"
"raw_BH","46","25","46","7","1","13","0","1","0","0"
"oracle_adaptive_BH","7014","2499","879","343","69","32","11","1","0","0"
"STOREY","102","52","92","25","12","2","0","3","1","0"
"PC_DM","447","255","227","29","20","2","0","3","1","0"
"HYB_PC_STO","459","257","229","29","20","2","0","3","1","0"
"PC_QUAD","893","455","309","106","33","2","0","3","1","0"
"PC_ZZD","447","255","227","29","20","2","0","3","1","0"
"HYB_Quad_Storey","894","455","309","106","33","2","0","3","1","0"
"raw_BH","70","28","48","8","12","1","0","2","1","0"
"oracle_adaptive_BH","6979","2530","975","218","119","2","0","4","1","0"
"STOREY","132","137","69","45","3","10","11","0","0","0"
"PC_DM","528","316","100","110","3","10","11","0","0","0"
"HYB_PC_STO","540","327","101","110","3","10","11","0","0","0"
"PC_QUAD","925","508","226","148","3","27","11","0","0","0"
"PC_ZZD","527","316","100","110","3","10","11","0","0","0"
"HYB_Quad_Storey","925","508","226","148","3","27","11","0","0","0"
"raw_BH","34","61","55","27","3","10","11","0","0","0"
"oracle_adaptive_BH","6694","2451","873","306","37","35","13","0","0","0"
"STOREY","212","127","73","41","42","14","4","4","2","1"
"PC_DM","481","329","157","59","45","23","4","4","2","1"
"HYB_PC_STO","511","335","157","59","45","23","4","4","2","1"
"PC_QUAD","970","553","239","114","59","26","14","4","2","1"
"PC_ZZD","465","329","157","59","45","23","4","4","2","1"
"HYB_Quad_Storey","970","553","239","114","59","26","14","4","2","1"
"raw_BH","164","88","23","37","41","14","3","4","2","1"
"oracle_adaptive_BH","6839","2455","820","274","132","43","16","4","2","1"
"STOREY","167","121","66","12","11","12","3","0","0","0"
"PC_DM","456","197","133","32","21","15","3","0","0","0"
"HYB_PC_STO","472","202","139","32","21","15","3","0","0","0"
"PC_QUAD","758","381","253","54","22","22","3","0","0","0"
"PC_ZZD","453","197","133","32","21","15","3","0","0","0"
"HYB_Quad_Storey","762","381","253","54","22","22","3","0","0","0"
"raw_BH","104","88","60","12","8","11","3","0","0","0"
"oracle_adaptive_BH","6803","2529","768","251","33","42","3","0","0","0"
"STOREY","146","71","57","42","4","13","4","0","0","0"
"PC_DM","421","264","160","96","4","19","4","0","0","0"
"HYB_PC_STO","430","264","161","97","4","19","4","0","0","0"
"PC_QUAD","667","468","230","123","5","19","4","0","0","0"
"PC_ZZD","419","264","156","96","4","19","4","0","0","0"
"HYB_Quad_Storey","667","468","230","123","5","19","4","0","0","0"
"raw_BH","99","31","37","22","3","11","4","0","0","0"
"oracle_adaptive_BH","6777","2399","929","299","106","32","4","0","0","0"
"STOREY","308","128","48","27","21","4","6","0","0","1"
"PC_DM","660","326","100","66","23","5","6","0","0","1"
"HYB_PC_STO","673","327","100","72","26","5","6","0","0","1"
"PC_QUAD","1095","583","152","120","27","5","6","0","0","1"
"PC_ZZD","660","308","100","66","22","5","6","0","0","1"
"HYB_Quad_Storey","1096","583","152","120","27","5","6","0","0","1"
