"method","V2","V3","V4"
"STOREY_RANDOM","0.936378412690777","0.764852172850516","0.542316600858635"
"PC_RANDOM","0.930271409482936","0.734661945615601","0.473947648399778"
"STOREY","1.472","1.112","0.872"
"PC","1.5315774862219","1.21178419833295","0.942185362597058"
"RES_STOREY","0.937003736385116","0.704632031491771","0.554752658711859"
"PC_midp","0.933912002179774","0.742582465568784","0.587931593250359"
"STOREY_RANDOM","0.931080472279697","0.745192793037328","0.588528805971027"
"PC_RANDOM","0.932714741739133","0.711503117557873","0.546213393237972"
"STOREY","1.396","1.092","0.812"
"PC","1.48325653778138","1.18732237421796","0.896489448457288"
"RES_STOREY","0.897373065347984","0.668682113302284","0.506558865968394"
"PC_midp","0.908654643915749","0.714383625335322","0.549419128892553"
"STOREY_RANDOM","0.90742150863551","0.712443222317495","0.54923560781356"
"PC_RANDOM","0.89797628597144","0.660049653302326","0.493438690965572"
"STOREY","1.472","1.088","0.84"
"PC","1.54798429268847","1.16401566739499","0.911804359054622"
"RES_STOREY","0.920260118576312","0.681939637184594","0.532628839253832"
"PC_midp","0.935700728838955","0.704924609833801","0.560404520400499"
"STOREY_RANDOM","0.935334655291251","0.707204383661322","0.560168362971029"
"PC_RANDOM","0.921765816226378","0.670920288095353","0.520601823570535"
"STOREY","1.448","1.2","0.828"
"PC","1.51600469460207","1.24895564920359","0.920193560685134"
"RES_STOREY","0.910188177404299","0.772355474326771","0.531554259588337"
"PC_midp","0.914099686154507","0.769206197009524","0.56657816229379"
"STOREY_RANDOM","0.913923794327365","0.771071897802739","0.565004118726627"
"PC_RANDOM","0.904246566963657","0.763783243297182","0.518333473602865"
"STOREY","1.496","1.132","0.908"
"PC","1.55063775602514","1.20679861873673","0.969434767827688"
"RES_STOREY","0.942931313115564","0.722576208709768","0.580236374233599"
"PC_midp","0.940876566195165","0.741386655821373","0.604888559782163"
"STOREY_RANDOM","0.939276616893368","0.741002782988547","0.606270242616866"
"PC_RANDOM","0.939036280870734","0.709052062739461","0.562143125372345"
"STOREY","1.512","1.152","0.884"
"PC","1.54943560611519","1.21429144873432","0.94321256437756"
"RES_STOREY","0.956167389912839","0.729745373138008","0.565798817389247"
"PC_midp","0.940764780414095","0.738101130682946","0.582428470780919"
"STOREY_RANDOM","0.942680042765735","0.737080697189869","0.581323783962995"
"PC_RANDOM","0.960901156350552","0.722895486473801","0.529687338757203"
"STOREY","1.448","1.168","0.836"
"PC","1.50937932826605","1.24724128897841","0.918739535792634"
"RES_STOREY","0.917463418496779","0.740332293179181","0.533127447241598"
"PC_midp","0.919086513583822","0.759952031213696","0.57092645634398"
"STOREY_RANDOM","0.921084166441408","0.757441308398393","0.572438963976064"
"PC_RANDOM","0.913174873955901","0.743320323653795","0.526194807025668"
"STOREY","1.436","1.156","0.908"
"PC","1.51210481147959","1.2334637995027","0.971476387438373"
"RES_STOREY","0.893790657830553","0.727558363612651","0.589964335831241"
"PC_midp","0.906993755391592","0.75255114533958","0.609545276372628"
