"method","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"STOREY","0.625578947368421","0.668631578947368","0.718947368421053","0.752105263157895","0.794526315789474","0.835052631578947","0.872315789473684","0.917263157894737","0.95821052631579","0.998315789473684"
"PC_DM","0.360050177145617","0.43107433527571","0.507507961089274","0.577806696842152","0.641006821694738","0.720910931390986","0.782259003476289","0.868200864364412","0.93256839941709","0.996610750957908"
"HYB_PC_STO","0.347910453855259","0.420276583900388","0.498239784796686","0.56983612546603","0.634273705067482","0.715165174992064","0.778041418653314","0.86564938299948","0.931177369458657","0.996482829483993"
"PC_QUAD","0.247257976577626","0.328789297655253","0.419879034866281","0.502835207623605","0.575177715229381","0.672572762574525","0.743379600921618","0.850461717304511","0.923868182487931","0.996757972411792"
"PC_ZZD","0.360701582664744","0.431893783952972","0.508508251725211","0.578973314286881","0.642322970634868","0.722416133454657","0.783909355078514","0.870054554409498","0.934574383050111","0.998768258794675"
"HYB_Quad_Storey","0.246728582561484","0.328305633009426","0.419460130819157","0.502487740019991","0.574874913093471","0.672313063463472","0.743189395352821","0.850351990175055","0.923804305602042","0.99675090985984"
"STOREY","0.625052631578947","0.671368421052632","0.714526315789474","0.752631578947368","0.790842105263158","0.834","0.876631578947368","0.919368421052632","0.957157894736842","1.00642105263158"
"PC_DM","0.35882105662588","0.432571038895881","0.49859123166508","0.575243292361964","0.642479973762755","0.728750606983999","0.788465894152281","0.861075635042087","0.922231429666152","0.992578004409171"
"HYB_PC_STO","0.346735499786118","0.421667590336313","0.489282188099958","0.567078420346339","0.635667552831486","0.723556847911744","0.784465613750406","0.858516736098938","0.92092084663535","0.992979061199938"
"PC_QUAD","0.248579906976364","0.333405862380075","0.406557817784884","0.499754023949641","0.582913583581812","0.68597728914529","0.751232436092476","0.839500566225869","0.905254155958852","0.984165652618489"
"PC_ZZD","0.359469554045857","0.433394028773909","0.4995704253192","0.576403844791692","0.643799608180678","0.730274357720123","0.790130931257845","0.862912466794596","0.924212956028742","0.994725970767603"
"HYB_Quad_Storey","0.248049986346318","0.332913895206967","0.406146659303294","0.499388252510555","0.582619652126579","0.685751770259251","0.751050863501631","0.839386343995751","0.9051994844965","0.984187397320697"
"STOREY","0.625684210526316","0.665473684210526","0.704315789473684","0.756421052631579","0.79178947368421","0.840736842105263","0.876315789473684","0.912421052631579","0.959789473684211","0.996736842105263"
"PC_DM","0.355335699500857","0.427035733553272","0.49454577194587","0.5803113106471","0.641536356581249","0.713112785786911","0.780053360311853","0.849454049369413","0.941760545629734","1.00115923238514"
"HYB_PC_STO","0.34304758416415","0.415876952428269","0.48498526277873","0.57222507520457","0.634737480399054","0.707653394778444","0.776076300235114","0.846684703047834","0.940546920781842","1.00097742024191"
"PC_QUAD","0.242921039667329","0.327271825467137","0.408124531717921","0.505191047159379","0.577857445247825","0.660165658484399","0.742442005801109","0.818750631289424","0.939715281345108","1.00111078415617"
"PC_ZZD","0.355975950565876","0.427845626898859","0.495515394042294","0.581483854008091","0.64285375840092","0.714599537438083","0.781698493362351","0.851263384450221","0.943788277880694","1.002366"
"HYB_Quad_Storey","0.242369778258473","0.326775167219707","0.407702999398823","0.50483505813768","0.577552012004566","0.659915978517602","0.742267203437902","0.818629831201681","0.939665531129676","1.00110258363882"
"STOREY","0.635263157894737","0.669578947368421","0.710315789473684","0.748421052631579","0.784631578947368","0.837894736842105","0.871368421052631","0.922526315789474","0.966631578947368","0.995894736842105"
"PC_DM","0.359868753941867","0.43085832999213","0.498402846631579","0.572452618429996","0.629766601038051","0.715511077984289","0.780923466415348","0.85809940631812","0.93911578685043","0.994715170250565"
"HYB_PC_STO","0.347635351312975","0.419993718687461","0.488703797827023","0.564216931664555","0.622670750993515","0.710325838264975","0.776812550681773","0.855549237431186","0.938118022652891","0.99444210745465"
"PC_QUAD","0.245802935243471","0.327734172154668","0.408428705397273","0.49981122948274","0.564572633742412","0.66277063019524","0.742646350482479","0.830592583948385","0.929211277324623","0.994719789355384"
"PC_ZZD","0.360519730213693","0.431677267600892","0.499381594566709","0.573606568125202","0.631056155616107","0.7170035039948","0.782570658136887","0.859929196313468","0.941137261602118","0.996868193143378"
"HYB_Quad_Storey","0.245253792669971","0.327254053674504","0.407995855062701","0.499440107865554","0.564253425397723","0.662545245142915","0.742469126539338","0.830474766572126","0.929169258161046","0.994705851829479"
"STOREY","0.62578947368421","0.676526315789474","0.709578947368421","0.752842105263158","0.801894736842105","0.824526315789474","0.873473684210526","0.918947368421053","0.956842105263158","1.00389473684211"
"PC_DM","0.356380958999809","0.438810149805551","0.501926463836105","0.581419933966004","0.654030778478918","0.704032105897096","0.785740714608571","0.860613656084435","0.936347832916807","1.01123618112587"
"HYB_PC_STO","0.344129611910361","0.428264822689418","0.492457073467033","0.573233784674301","0.647664108135601","0.698174657514718","0.781269779984355","0.8579838724337","0.934947576285884","1.01135420012713"
"PC_QUAD","0.243964224580197","0.341310803059921","0.416373769087448","0.50998441274589","0.591400085330855","0.654285781121605","0.747618075273607","0.840114270406317","0.929124443449342","1.01399015467307"
"PC_ZZD","0.357023683148803","0.439647901419991","0.502913548649541","0.582595100329767","0.655377742100799","0.705497372659648","0.787399303939335","0.862449394794731","0.938362758689488","1.002366"
"HYB_Quad_Storey","0.243418104051933","0.340840152244158","0.415956470218904","0.50961814820368","0.591117394745501","0.654026844242332","0.747409904538457","0.840000422972926","0.929063294359095","1.0139941570577"
"STOREY","0.623894736842105","0.668526315789474","0.709368421052632","0.758947368421053","0.793052631578947","0.842105263157895","0.87221052631579","0.919157894736842","0.958421052631579","0.998842105263158"
"PC_DM","0.356027569654103","0.437591013626703","0.500926181693124","0.575464515518982","0.649297922314974","0.725862884435092","0.783173233378481","0.859044713572146","0.928544303092937","0.995586411770053"
"HYB_PC_STO","0.343882328318453","0.427040936498832","0.491461185325001","0.567583302992068","0.642653165098922","0.720696300890208","0.779104158386566","0.856400058190189","0.926945489500942","0.9954762269082"
"PC_QUAD","0.244191516666127","0.342830152761398","0.413211220029478","0.499234237086263","0.588220786385528","0.678673513726874","0.745662677578772","0.83396537683803","0.917336158348992","0.994239847257388"
"PC_ZZD","0.356669457683904","0.438425880764944","0.50191089983901","0.5766255913627","0.650633687999171","0.727379802819665","0.784825748048654","0.860876740164458","0.930540765714055","0.997741496020301"
"HYB_Quad_Storey","0.243651191301867","0.342369150401658","0.412793720999474","0.49888389888314","0.587927941635313","0.678443041719875","0.745487206418019","0.833851775085944","0.917261225381798","0.99423281470952"
"STOREY","0.629473684210526","0.668736842105263","0.717052631578947","0.762315789473684","0.791473684210526","0.844","0.879052631578947","0.918","0.962105263157895","1.00126315789474"
"PC_DM","0.357366414102848","0.433266374654586","0.499617977476789","0.577003088204661","0.640444588802618","0.726739258083081","0.791888346609488","0.862332272624996","0.927363822964756","0.99672353284844"
"HYB_PC_STO","0.34513558941272","0.422047324917343","0.490274989862662","0.56914074225699","0.633651909894468","0.721789384415804","0.78792596774441","0.85962522290767","0.926256670413219","0.996703780802721"
"PC_QUAD","0.243295975945874","0.333926814376204","0.411234660750712","0.499082720619813","0.577787284392811","0.676067550485014","0.759157998032432","0.838425236281999","0.913308758106958","0.99391221590745"
"PC_ZZD","0.358011469838616","0.434091009697018","0.500599600411499","0.578167804311354","0.641759407499725","0.728258249967705","0.793561481237566","0.864172077582027","0.929357492569891","0.99888130752716"
"HYB_Quad_Storey","0.242750018830024","0.33342387125467","0.410817761507663","0.498732451212509","0.577493129388081","0.675849079888362","0.758986118102963","0.838305106081683","0.91326341164813","0.993910097159273"
"STOREY","0.623578947368421","0.669578947368421","0.708526315789474","0.757473684210526","0.798315789473684","0.840421052631579","0.874947368421053","0.916736842105263","0.952736842105263","0.999684210526316"
"PC_DM","0.351136027209059","0.431153832600711","0.502215561022925","0.572830357111907","0.645715154831056","0.723594299425548","0.786297038702404","0.854462885964155","0.930661507932391","0.996358693695736"
"HYB_PC_STO","0.339261765921916","0.42042191147857","0.492857246715076","0.56486273724155","0.639186492652513","0.718321728463043","0.78222841659711","0.851761195833651","0.92909195389173","0.996362022886747"
"PC_QUAD","0.239106475832884","0.330513504546385","0.415189311407763","0.493954721087602","0.58146426050904","0.674055782406448","0.746611059494414","0.827673831940367","0.918945822136835","0.995904830347713"
"PC_ZZD","0.351766341849436","0.431973469368645","0.503203329840305","0.573985200536834","0.647042443687386","0.725105850337989","0.787956944295974","0.856284071952346","0.932662979860159","0.99851560516502"
"HYB_Quad_Storey","0.238590690102881","0.330041929496027","0.414778835060904","0.493602962494043","0.581176403879244","0.673820428492191","0.746432307201627","0.827557614130193","0.918874168204645","0.995908256264361"
"STOREY","0.623684210526316","0.669368421052632","0.711157894736842","0.755368421052631","0.794","0.835578947368421","0.872842105263158","0.923473684210526","0.957368421052632","0.997157894736842"
"PC_DM","0.35262670746568","0.435737617808511","0.506545074515254","0.571437639100928","0.635081533586068","0.713061557216668","0.800862559374146","0.865856477483996","0.928455742159862","0.995886470748572"
"HYB_PC_STO","0.340144937757581","0.425080891426554","0.497031722094576","0.563489383202067","0.628394451006979","0.707500811928146","0.796805356395372","0.863356075852506","0.927034674695758","0.995716161871052"
"PC_QUAD","0.240068765454745","0.338049474700255","0.420164626869328","0.493286367250335","0.569370659705504","0.663093702884543","0.771706027490987","0.841063800100092","0.914140049369153","0.996653616162098"
"PC_ZZD","0.353260549055544","0.436568099812246","0.507543086961557","0.572589187355041","0.636383663294532","0.714548187661042","0.802556926989625","0.867704620709723","0.930451995245812","0.998042264938363"
"HYB_Quad_Storey","0.239512873869862","0.337581880013612","0.419745685431703","0.49292957850989","0.569071708493687","0.662841609438809","0.771531376762214","0.840954104467321","0.914077128063509","0.996644881657231"
